性质,质量等级,是否,藏品数,珍贵文物,展览,教育活动,参观人数,地区,博物馆名字,参观人数（2020年）,教育活动（2020年）,老师数量,学生人数,2022_民办,2022_公办,2023_民办,2023_公办
非国有,未定级,是,666,0,3,3,1.8,武昌区,铁盾书画艺术博物馆,427.5000000000001,412,2137.0,22597.0,,132.54000000000002,,168.46
非国有,未定级,是,305,0,1,2,2.3,青山区,杨楼子老榨坊博物馆,15.899999999999999,2,882.0,9539.0,,11.44,,12.01
非国有,未定级,是,453,0,6,6,2,武昌区,屹苑盆景文化艺术博物馆,427.5000000000001,412,2137.0,22597.0,,132.54000000000002,,168.46
非国有,未定级,是,338,0,8,4,2.1,江夏区,益合当代书画艺术博物馆,85.3,175,1409.0,13650.0,12.55,35.120000000000005,7.630000000000001,40.16
非国有,未定级,是,11181,0,5,6,2.2,黄陂区,永庭石画博物馆,7.4,11,1535.0,18663.0,0.0,,0.0,
非国有,未定级,是,3980,0,3,8,0.7,武昌区,虞小风指画博物馆,427.5000000000001,412,2137.0,22597.0,,132.54000000000002,,168.46
非国有,未定级,是,283,0,3,3,2,武昌区,中部兰亭艺术博物馆,427.5000000000001,412,2137.0,22597.0,,132.54000000000002,,168.46
文物,未定级,是,2130,13,11,41,18.5,江岸区,中共中央机关旧址纪念馆,19.0,43,1651.0,16403.0,0.0,,0.0,
非国有,未定级,是,283,0,7,397,10.9,蔡甸区,侏儒山战役博物馆,20.8,433,745.0,7153.0,,32.12,,30.89
非国有,未定级,是,350,0,4,9,2.8,蔡甸区,竹韵堂竹雕博物馆,20.8,433,745.0,7153.0,,32.12,,30.89
非国有,未定级,否,859,0,2,8,2.3,武昌区,钻石艺术博物馆,427.5000000000001,412,2137.0,22597.0,,132.54000000000002,,168.46
行业,未定级,是,88,34,3,55,21.3,武昌区,张之洞与武汉博物馆,427.5000000000001,412,2137.0,22597.0,,132.54000000000002,,168.46
行业,三级,否,35500,0,8,39,38.1,武昌区,中国地质大学（武汉）逸夫博物馆,427.5000000000001,412,2137.0,22597.0,,132.54000000000002,,168.46
